sqft_living,grade,sqft_above,bathrooms,quartier,view,sqft_basement,bedrooms,waterfront,floors
1570,7,1070,1.0,0,0,500,3,0,1.0
1780,8,1210,2.5,1,0,570,3,0,1.0
1090,8,1090,1.5,0,0,0,3,0,1.0
2210,8,2210,2.5,0,0,0,4,0,2.0
1800,7,1240,2.5,0,0,560,3,0,2.0
3100,7,2040,2.0,0,0,1060,4,0,1.5
5070,11,5070,3.75,0,0,0,4,0,2.0
1180,8,840,1.0,0,2,340,1,0,1.5
1800,8,1800,2.5,0,0,0,3,0,2.0
3010,8,1780,1.75,0,0,1230,4,0,1.0
2770,7,1700,2.75,0,0,1070,5,0,1.0
1240,7,1240,1.5,0,0,0,3,0,1.0
1990,7,1090,1.75,0,0,900,2,0,1.0
2960,9,2960,2.5,0,3,0,3,1,2.0
2190,8,2190,2.5,0,0,0,4,0,2.0
1520,6,1040,1.0,0,0,480,3,0,1.0
1940,7,1940,1.5,1,0,0,4,0,1.0
2830,9,1910,3.25,0,0,920,4,0,2.0
2160,8,2160,2.5,0,0,0,2,0,1.0
1650,7,860,2.0,0,0,790,4,0,1.0
1810,7,1210,1.75,0,0,600,3,0,1.0
1680,9,1680,2.5,0,0,0,2,0,3.0
2470,8,2470,2.5,0,0,0,4,0,2.0
990,7,990,1.0,0,0,0,2,0,2.0
1270,7,1270,1.75,0,0,0,3,0,1.0
2370,9,1750,3.0,0,0,620,4,0,2.0
2290,9,2290,3.25,0,0,0,4,0,2.0
1200,7,1200,1.75,0,0,0,3,0,1.0
1100,7,1100,2.5,0,0,0,2,0,3.0
2410,8,2070,2.75,0,0,340,4,0,1.5
2800,9,2800,2.5,0,0,0,4,0,2.0
1270,8,1040,2.25,0,0,230,3,0,2.0
2300,7,1560,2.75,0,0,740,4,0,1.0
2060,8,1440,2.25,1,0,620,4,0,1.0
5960,10,3900,3.75,0,4,2060,6,0,2.0
2920,9,2260,2.25,1,0,660,4,0,2.0
3020,8,1920,3.25,1,0,1100,4,0,1.5
1520,8,1240,2.25,0,0,280,3,0,2.0
4250,10,4250,2.75,0,0,0,4,0,2.0
1540,7,1540,1.5,0,0,0,4,0,2.0
3530,10,2370,3.5,0,0,1160,3,0,2.0
760,5,760,1.0,0,0,0,2,0,1.0
1440,7,1440,1.0,0,0,0,4,0,1.5
2590,9,2590,2.5,0,0,0,3,0,2.0
2180,9,1580,2.0,0,4,600,2,1,1.0
1300,8,1300,2.25,0,0,0,3,0,3.0
2400,8,2400,2.5,0,0,0,3,0,2.0
1390,7,1390,1.0,0,0,0,4,0,1.0
2980,9,2230,1.75,0,0,750,5,0,1.0
2530,7,2530,2.5,0,0,0,5,0,2.0
2100,7,2100,1.5,0,0,0,3,0,1.0
1300,7,1300,1.0,0,0,0,3,0,1.0
2740,8,2740,2.5,0,2,0,4,0,1.5
1880,8,1880,2.0,0,0,0,4,0,1.0
1900,7,1390,1.75,0,0,510,3,0,1.0
3550,9,3550,2.75,0,0,0,4,0,2.0
2470,9,2470,2.5,0,0,0,4,0,2.0
940,6,940,1.0,0,0,0,2,0,1.0
4490,12,4490,3.75,0,0,0,4,0,2.0
1852,7,1852,2.5,0,0,0,3,0,2.0
1820,8,1620,3.0,0,0,200,3,0,1.5
1580,7,1050,2.0,0,0,530,3,0,1.0
