bedrooms,bathrooms,sqft_living,sqft_living_carre,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_above_carre,sqft_basement,sqft_basement_carre,zipcode,sqft_living15,sqft_lot15,month,price
3,1.0,1180,1392400,5650,1.0,0,0,3,7,1180,1392400,0,0,98178,1340,5650,10,221900.0
3,2.25,2570,6604900,7242,2.0,0,0,3,7,2170,4708900,400,160000,98125,1690,7639,12,538000.0
2,1.0,770,592900,10000,1.0,0,0,3,6,770,592900,0,0,98028,2720,8062,2,180000.0
4,3.0,1960,3841600,5000,1.0,0,0,5,7,1050,1102500,910,828100,98136,1360,5000,12,604000.0
3,2.0,1680,2822400,8080,1.0,0,0,3,8,1680,2822400,0,0,98074,1800,7503,2,510000.0
4,4.5,5420,29376400,101930,1.0,0,0,3,11,3890,15132100,1530,2340900,98053,4760,101930,5,1225000.0
3,2.25,1715,2941225,6819,2.0,0,0,3,7,1715,2941225,0,0,98003,2238,6819,6,257500.0
3,1.5,1060,1123600,9711,1.0,0,0,3,7,1060,1123600,0,0,98198,1650,9711,1,291850.0
3,1.0,1780,3168400,7470,1.0,0,0,3,7,1050,1102500,730,532900,98146,1780,8113,4,229500.0
3,2.5,1890,3572100,6560,2.0,0,0,3,7,1890,3572100,0,0,98038,2390,7570,3,323000.0
3,2.5,3560,12673600,9796,1.0,0,0,3,8,1860,3459600,1700,2890000,98007,2210,8925,4,662500.0
2,1.0,1160,1345600,6000,1.0,0,0,4,7,860,739600,300,90000,98115,1330,6000,5,468000.0
3,1.0,1430,2044900,19901,1.5,0,0,4,7,1430,2044900,0,0,98028,1780,12697,5,310000.0
3,1.75,1370,1876900,9680,1.0,0,0,4,7,1370,1876900,0,0,98074,1370,10208,10,400000.0
5,2.0,1810,3276100,4850,1.5,0,0,3,7,1810,3276100,0,0,98107,1360,4850,3,530000.0
4,3.0,2950,8702500,5000,2.0,0,3,3,9,1980,3920400,970,940900,98126,2140,4000,1,650000.0
3,2.0,1890,3572100,14040,2.0,0,0,3,7,1890,3572100,0,0,98019,1890,14018,7,395000.0
4,1.0,1600,2560000,4300,1.5,0,0,4,7,1600,2560000,0,0,98103,1610,4300,5,485000.0
2,1.0,1200,1440000,9850,1.0,0,0,4,7,1200,1440000,0,0,98002,1060,5095,12,189000.0
3,1.0,1250,1562500,9774,1.0,0,0,4,7,1250,1562500,0,0,98003,1280,8850,4,230000.0
4,1.75,1620,2624400,4980,1.0,0,0,4,7,860,739600,760,577600,98133,1400,4980,5,385000.0
3,2.75,3050,9302500,44867,1.0,0,4,3,9,2330,5428900,720,518400,98040,4110,20336,8,2000000.0
5,2.5,2270,5152900,6300,2.0,0,0,3,8,2270,5152900,0,0,98092,2240,7005,7,285000.0
2,1.5,1070,1144900,9643,1.0,0,0,3,7,1070,1144900,0,0,98030,1220,8386,5,252700.0
3,2.25,2450,6002500,6500,2.0,0,0,4,8,2450,6002500,0,0,98030,2200,6865,11,329000.0
3,2.0,1710,2924100,4697,1.5,0,0,5,6,1710,2924100,0,0,98002,1030,4705,11,233000.0
3,1.75,2450,6002500,2691,2.0,0,0,3,8,1750,3062500,700,490000,98119,1760,3573,6,937000.0
3,1.0,1400,1960000,1581,1.5,0,0,5,8,1400,1960000,0,0,98112,1860,3861,12,667000.0
3,1.75,1520,2310400,6380,1.0,0,0,3,7,790,624100,730,532900,98115,1520,6235,6,438000.0
4,2.5,2570,6604900,7173,2.0,0,0,3,8,2570,6604900,0,0,98052,2630,6026,3,719000.0
3,2.5,2320,5382400,3980,2.0,0,0,3,8,2320,5382400,0,0,98027,2580,3980,11,580500.0
2,1.5,1190,1416100,1265,3.0,0,0,3,7,1190,1416100,0,0,98133,1390,1756,12,280000.0
4,1.75,2330,5428900,5000,1.5,0,0,4,7,1510,2280100,820,672400,98117,1460,5000,6,687500.0
3,1.0,1090,1188100,3000,1.5,0,0,4,8,1090,1188100,0,0,98117,1570,5080,11,535000.0
4,2.75,2060,4243600,6659,1.0,0,0,3,7,1280,1638400,780,608400,98058,2020,8720,12,322500.0
3,2.5,2300,5290000,3060,1.5,0,0,3,8,1510,2280100,790,624100,98115,1590,3264,6,696000.0
4,1.0,1660,2755600,34848,1.0,0,0,1,5,930,864900,730,532900,98052,2160,11467,5,550000.0
4,2.0,2360,5569600,6000,2.0,0,0,4,8,2360,5569600,0,0,98107,1730,4700,12,640000.0
4,1.0,1220,1488400,8075,1.0,0,0,2,7,890,792100,330,108900,98001,1290,7800,2,240000.0
4,2.5,2620,6864400,7553,2.0,0,0,3,8,2620,6864400,0,0,98056,2620,11884,6,605000.0
4,2.5,2570,6604900,5520,2.0,0,0,3,9,2570,6604900,0,0,98074,2470,5669,7,625000.0
4,2.25,4220,17808400,24186,1.0,0,0,3,8,2600,6760000,1620,2624400,98166,2410,30617,8,775000.0
5,2.75,3595,12924025,5639,2.0,0,0,3,9,3595,12924025,0,0,98053,3625,5639,7,861990.0
3,1.0,1570,2464900,2280,2.0,0,0,3,7,1570,2464900,0,0,98119,1580,2640,10,685000.0
3,1.0,1280,1638400,9656,1.0,0,0,4,6,920,846400,360,129600,98058,1340,8808,7,309000.0
3,2.5,3160,9985600,13603,2.0,0,0,3,8,3160,9985600,0,0,98019,3050,9232,7,488000.0
3,1.0,990,980100,8528,1.0,0,0,3,6,990,980100,0,0,98023,1228,8840,3,210490.0
4,2.5,2290,5244100,13416,2.0,0,0,4,9,2290,5244100,0,0,98007,2680,13685,7,785000.0
3,1.75,1250,1562500,5963,1.0,0,0,4,7,1250,1562500,0,0,98115,970,5100,4,450000.0
3,2.5,2753,7579009,65005,1.0,1,2,5,9,2165,4687225,588,345744,98070,2680,72513,3,1350000.0
3,1.0,1190,1416100,9199,1.0,0,0,3,7,1190,1416100,0,0,98148,1190,9364,9,228000.0
5,2.5,3150,9922500,9134,1.0,0,0,4,8,1640,2689600,1510,2280100,98056,1990,9133,2,345000.0
3,1.75,1410,1988100,4080,1.0,0,0,4,7,1000,1000000,410,168100,98117,1410,4080,12,600000.0
2,1.75,1980,3920400,8550,1.0,0,0,3,7,990,980100,990,980100,98117,1480,6738,2,585000.0
5,2.25,2730,7452900,6000,1.5,0,0,3,8,2130,4536900,600,360000,98105,2730,6000,3,920000.0
4,2.5,2830,8008900,5000,2.0,0,0,3,9,2830,8008900,0,0,98105,1950,5000,5,885000.0
4,2.5,2250,5062500,4495,2.0,0,0,3,7,2250,5062500,0,0,98042,2250,4500,8,292500.0
3,2.5,2420,5856400,4750,2.0,0,0,3,8,2420,5856400,0,0,98042,2690,4750,4,301000.0
5,3.25,3250,10562500,14342,2.0,0,4,4,8,3250,10562500,0,0,98008,2960,11044,8,951000.0
4,3.0,1850,3422500,9976,2.0,0,0,3,8,1850,3422500,0,0,98059,2270,8542,2,430000.0
3,2.25,2150,4622500,21235,1.0,0,3,4,8,1590,2528100,560,313600,98166,2570,18900,12,650000.0
3,1.75,1260,1587600,8400,1.0,0,0,3,7,1260,1587600,0,0,98148,1290,8750,8,289000.0
3,1.75,2519,6345361,8690,2.0,0,0,5,8,2519,6345361,0,0,98166,2500,9500,10,505000.0
3,1.75,1540,2371600,1044,3.0,0,0,3,8,1540,2371600,0,0,98115,1580,3090,12,549000.0
3,2.25,1660,2755600,6000,1.0,0,0,3,7,1110,1232100,550,302500,98122,1440,4080,6,425000.0
3,2.75,2770,7672900,3809,1.5,0,0,5,7,1770,3132900,1000,1000000,98144,1440,4000,11,317625.0
4,2.5,2720,7398400,11049,2.0,0,0,3,10,2720,7398400,0,0,98004,2750,11049,9,975000.0
4,2.5,2240,5017600,4648,2.0,0,0,3,7,2240,5017600,0,0,98001,2221,4557,10,287000.0
3,1.0,1000,1000000,12070,1.0,0,0,4,7,1000,1000000,0,0,98042,1010,12635,8,204000.0
5,2.25,3200,10240000,20158,1.0,0,0,3,8,1600,2560000,1600,2560000,98004,3390,20158,6,1325000.0
5,3.25,4770,22752900,50094,1.0,0,0,4,11,3070,9424900,1700,2890000,98005,3530,38917,9,1040000.0
3,2.0,1260,1587600,5612,1.0,0,0,4,7,1260,1587600,0,0,98034,1640,4745,1,325000.0
4,2.0,2750,7562500,7807,1.5,0,0,5,7,2250,5062500,500,250000,98125,1510,7807,6,571000.0
4,2.5,2380,5664400,5000,2.0,0,0,3,8,2380,5664400,0,0,98038,2420,5000,7,360000.0
3,1.75,1790,3204100,50529,1.0,0,0,5,7,1090,1188100,700,490000,98042,1940,50529,3,349000.0
4,4.0,3430,11764900,35102,2.0,0,0,4,10,2390,5712100,1040,1081600,98075,3240,35020,11,832500.0
4,1.75,1760,3097600,7300,1.0,0,0,3,7,880,774400,880,774400,98008,1680,7500,10,380000.0
3,1.0,1040,1081600,5060,1.0,0,0,3,7,1040,1081600,0,0,98116,890,5060,4,480000.0
3,1.0,1410,1988100,5060,1.0,0,0,4,7,910,828100,500,250000,98133,1130,5693,6,410000.0
4,2.5,3450,11902500,39683,2.0,0,0,3,10,3450,11902500,0,0,98010,3350,39750,3,720000.0
3,2.5,2350,5522500,5100,2.0,0,0,3,8,2350,5522500,0,0,98038,2350,5363,12,390000.0
4,2.5,1900,3610000,5889,2.0,0,0,3,7,1900,3610000,0,0,98038,1870,6405,12,360000.0
2,1.0,2020,4080400,6720,1.0,0,0,3,7,1010,1020100,1010,1020100,98118,1720,6720,10,355000.0
3,1.5,1680,2822400,8712,1.0,0,0,3,8,1680,2822400,0,0,98059,1850,8797,1,356000.0
3,1.0,960,921600,6634,1.0,0,0,3,6,960,921600,0,0,98125,1570,7203,6,315000.0
3,1.5,2140,4579600,3600,2.0,0,0,3,9,1900,3610000,240,57600,98119,2020,4800,11,940000.0
5,2.25,2660,7075600,8400,1.5,0,0,5,7,2660,7075600,0,0,98092,1590,8165,11,305000.0
3,3.25,2770,7672900,6278,2.0,0,0,3,9,1980,3920400,790,624100,98056,1900,7349,6,461000.0
2,2.25,1610,2592100,2040,2.0,0,0,4,7,1610,2592100,0,0,98056,1950,2025,5,215000.0
2,1.75,1030,1060900,1066,2.0,0,0,3,7,765,585225,265,70225,98136,1030,1106,9,335000.0
4,2.5,1980,3920400,7403,2.0,0,0,3,7,1980,3920400,0,0,98023,1980,7510,5,243500.0
5,2.75,3520,12390400,6353,2.0,0,0,4,10,3520,12390400,0,0,98199,2520,6250,3,1099880.0
3,1.0,1200,1440000,10500,1.0,0,0,3,7,1200,1440000,0,0,98023,1350,10500,2,153000.0
3,1.5,1580,2496400,5000,1.0,0,0,3,8,1290,1664100,290,84100,98117,1570,4500,7,430000.0
3,1.5,1580,2496400,5000,1.0,0,0,3,8,1290,1664100,290,84100,98117,1570,4500,12,700000.0
4,2.5,3300,10890000,10250,1.0,0,0,3,7,2390,5712100,910,828100,98040,1950,6045,9,905000.0
3,1.75,1960,3841600,15681,1.0,0,0,3,7,1960,3841600,0,0,98032,1750,15616,3,247500.0
4,1.5,1160,1345600,6400,1.0,0,0,4,7,1160,1345600,0,0,98023,1160,6400,9,199000.0
3,1.75,1810,3276100,41800,1.0,0,0,5,7,1210,1464100,600,360000,98038,1650,135036,7,314000.0
3,2.5,2320,5382400,36847,2.0,0,2,3,9,2320,5382400,0,0,98045,2550,35065,5,437500.0
3,2.5,2070,4284900,13241,1.5,0,0,5,9,1270,1612900,800,640000,98102,2200,4500,6,850830.0
3,2.0,1980,3920400,3478,1.5,0,0,4,7,1440,2073600,540,291600,98117,1610,3478,10,555000.0
3,2.25,2190,4796100,107593,2.0,0,0,4,8,2190,4796100,0,0,98077,2570,47777,12,699950.0
3,2.5,2920,8526400,8113,2.0,0,0,3,8,2920,8526400,0,0,98004,2370,8113,10,1088000.0
3,1.0,1210,1464100,33919,1.0,0,0,3,7,1210,1464100,0,0,98058,1640,14910,9,290000.0
3,2.5,2340,5475600,10005,1.0,0,0,4,8,1460,2131600,880,774400,98058,2250,8162,4,375000.0
3,1.0,1670,2788900,4005,1.5,0,0,4,7,1170,1368900,500,250000,98117,1240,4005,5,460000.0
2,1.75,1240,1537600,2493,1.0,0,0,4,8,1240,1537600,0,0,98198,1270,4966,7,188500.0
4,2.5,3140,9859600,28037,2.0,0,0,4,10,3140,9859600,0,0,98077,2990,35001,3,680000.0
5,1.75,2030,4120900,12342,2.0,0,0,4,7,2030,4120900,0,0,98052,2500,9433,8,470000.0
4,2.5,2310,5336100,9624,2.0,0,0,3,8,2310,5336100,0,0,98027,1940,9636,7,597750.0
3,1.75,1260,1587600,3328,1.0,0,0,5,6,700,490000,560,313600,98103,1380,3536,3,570000.0
3,1.75,1540,2371600,12600,1.0,0,0,4,7,1160,1345600,380,144400,98038,1540,11656,9,272500.0
3,1.75,2080,4326400,5969,1.0,0,2,3,7,1080,1166400,1000,1000000,98108,2090,5500,11,329950.0
4,2.5,3230,10432900,16171,2.0,0,3,3,9,2520,6350400,710,504100,98001,2640,8517,10,480000.0
3,3.5,4380,19184400,6350,2.0,0,0,3,8,2780,7728400,1600,2560000,98117,1830,6350,11,740500.0
3,3.5,1590,2528100,1102,3.0,0,0,3,8,1590,2528100,0,0,98103,1620,3166,6,518500.0
2,1.0,880,774400,6780,1.0,0,0,4,6,880,774400,0,0,98178,1190,6780,6,205425.0
4,2.0,1570,2464900,9600,1.0,0,0,3,6,1570,2464900,0,0,98168,1880,9000,1,171800.0
4,1.0,1610,2592100,2982,1.5,0,0,4,7,1610,2592100,0,0,98144,1610,4040,5,535000.0
3,2.5,2400,5760000,6474,1.0,0,2,3,8,1560,2433600,840,705600,98177,2340,10856,1,660000.0
3,2.0,1450,2102500,9132,1.0,0,0,3,7,1450,2102500,0,0,98034,1580,9104,11,391500.0
2,1.0,770,592900,6000,1.0,0,0,3,6,770,592900,0,0,98117,1710,6000,4,395000.0
4,1.75,2100,4410000,4400,1.5,0,0,5,7,1720,2958400,380,144400,98118,1850,4400,11,445000.0
3,2.25,2910,8468100,10204,2.0,0,0,3,9,2910,8468100,0,0,98052,2700,13992,6,770000.0
4,2.75,2750,7562500,17789,1.5,0,0,3,8,1980,3920400,770,592900,98004,3060,11275,3,1450000.0
3,2.25,2100,4410000,8201,1.0,0,2,3,8,1620,2624400,480,230400,98178,2660,8712,7,445000.0
4,2.25,2160,4665600,8811,1.0,0,0,3,8,1360,1849600,800,640000,98023,2090,8400,7,260000.0
5,3.5,2320,5382400,4960,2.0,0,0,5,7,1720,2958400,600,360000,98103,1700,4960,6,822500.0
4,2.5,2070,4284900,4310,2.0,0,0,3,7,2070,4284900,0,0,98065,1970,3748,4,430000.0
3,1.75,1060,1123600,7875,1.0,0,0,4,7,1060,1123600,0,0,98092,1420,7680,1,212000.0
4,2.25,2010,4040100,9603,1.0,0,0,3,8,1440,2073600,570,324900,98027,2060,9793,4,660500.0
